id,projectName,fullAddress,landmark,pincode,type,configurationId,price,listingType,furnishedType,furnishingType,city
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,Mumbai chembur,Babys school,411017,1.0,cmf53kkzz000ivcu89r5399s4,111.11,Sell,UNFURNISHED,,Mumbai
cmf53kkzy000fvcu8tx8jwjmr,Ashwini,Mumbai chembur,Babys school,411017,2.0,cmf53kl00000kvcu86ivy65di,222.22,Sell,UNFURNISHED,,Mumbai
cmf5r6hv00001vxptnfichhfl,Pristine02,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Sai nagar ,412101,2.0,cmf5r6hv20004vxpt0l657blu,1200.0,Sell,UNFURNISHED,,Pune
cmf5r6hv00001vxptnfichhfl,Pristine02,"sr no 13 beside godrej, opposite to mca stadium, sai nagar, mamurdi, pune ",Sai nagar ,412101,2.0,cmf5r6hv20004vxpt0l657blu,2100.0,Sell,UNFURNISHED,,Pune
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,1.0,cmfawdrnq000avc18qcvaxzi9,130.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,1.0,cmfawdrnq000avc18qcvaxzi9,150.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,3.0,cmfawdrnr000dvc188hupv4yy,290.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,2.0,cmfawdrnr000gvc18iunqlv98,260.0,Sell,UNFURNISHED,,Mumbai
cmfawdrno0007vc18l0fm0z2j,Gurukripa,"Sindhi Society, Near Swami Vivekanand Jr College, Chembur, Mumbai Harbour, Mumbai",Sindhi Society,400071,2.0,cmfawdrnr000gvc18iunqlv98,330.0,Sell,UNFURNISHED,,Mumbai
cmfaxq2oo0020vc1806nmle00,Hari om,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,1.0,cmfaxq2or0023vc18biodrtiy,130.0,Sell,UNFURNISHED,,Mumbai
cmfaxq2oo0020vc1806nmle00,Hari om,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,2.0,cmfaxq2os0025vc18y99ryrns,190.0,Sell,UNFURNISHED,,Mumbai
cmfaxq2oo0020vc1806nmle00,Hari om,"Cts 300, plot no 37, opposite midtown 71, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",Sindhi Society,400069,3.0,cmfaxq2os0027vc1861948lln,230.0,Sell,UNFURNISHED,,Mumbai
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,1.0,cmfaycwy80039vc18b1epdodx,8.5,Sell,UNFURNISHED,,Mumbai
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,1.0,cmfaycwy80039vc18b1epdodx,7.9,Sell,UNFURNISHED,,Mumbai
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,1.0,cmfaycwy80039vc18b1epdodx,8.8,Sell,UNFURNISHED,,Mumbai
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,2.0,cmfaycwy9003dvc1853ic14wb,120.0,Sell,UNFURNISHED,,Mumbai
cmfaycwy70036vc18ppmb8mwh,Om makarand heights,"104, Yashvant Seth Jadhav Marg, Gauri Shankar Wadi No. 2, Savitribai Phule Nagar, Pant Nagar, Ghatkopar East, Mumbai, Maharashtra 400075",Hind high school,400075,2.0,cmfaycwy9003dvc1853ic14wb,140.0,Sell,UNFURNISHED,,Mumbai
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,1.0,cmfc6pq1m0004vca0cdihsx99,120.0,Sell,UNFURNISHED,,Mumbai
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,2.0,cmfc6pq1m0006vca04kqz1wsp,170.0,Sell,UNFURNISHED,,Mumbai
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,2.0,cmfc6pq1m0006vca04kqz1wsp,190.0,Sell,UNFURNISHED,,Mumbai
cmfc6pq1k0001vca0ikzb258m,Sainath Vrindavan,Prataprao Gujar Rd Neelam Nagar Mulund East Mumbai Maharashtra 400081,JBCN International School Mulund,400081,3.0,cmfc6pq1m0009vca0tmv501em,330.0,Sell,UNFURNISHED,,Mumbai
cmfc79ip5001cvca0qht6o44p,Avenue 15,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Mumbai Maharashtra 400015,JBCN International School Parel,400015,1.0,cmfc79ip7001fvca0dhfqinl1,98.9,Sell,UNFURNISHED,,Mumbai
cmfc79ip5001cvca0qht6o44p,Avenue 15,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Mumbai Maharashtra 400015,JBCN International School Parel,400015,1.0,cmfc79ip7001fvca0dhfqinl1,140.0,Sell,UNFURNISHED,,Mumbai
cmfc79ip5001cvca0qht6o44p,Avenue 15,AVENUE 15 Ramesh Barrel Supplying Company K.T.Gupta Wadi S.P.Murai Rd behind Sewri Road Sewri W Mumbai Maharashtra 400015,JBCN International School Parel,400015,2.0,cmfc79ip7001ivca0pjtsq247,150.0,Sell,UNFURNISHED,,Mumbai
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Infiniti Mall ,400099,,cmfc80zv3002gvca08q08d09k,59.75,Sell,UNFURNISHED,,Mumbai
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Infiniti Mall ,400099,,cmfc80zv3002gvca08q08d09k,77.2,Sell,UNFURNISHED,,Mumbai
cmfc80zv1002dvca0hcgoc6ea,Swaroop Aditya Avenue,"Swaroop Aditya Avenue, Sheraton Hotel, Marol Pipeline Rd, near Itc Maratha, Kanti Nagar, J B Nagar, Andheri East, Mumbai, Maharashtra 400099",Infiniti Mall ,400099,,cmfc80zv3002gvca08q08d09k,150.0,Sell,UNFURNISHED,,Mumbai
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya ,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",R Mall,400080,2.0,cmfc8w1e9003gvca0vfq51lrw,89.0,Sell,UNFURNISHED,,Mumbai
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya ,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",R Mall,400080,2.0,cmfc8w1e9003gvca0vfq51lrw,100.0,Sell,UNFURNISHED,,Mumbai
cmfc8w1e8003dvca0yvieggaz,Marigold miraaya ,"Marigold Miraaya, Purushottam Kheraj Rd, Asha Nagar, Mulund West, Mumbai, Maharashtra 400080",R Mall,400080,3.0,cmfc8w1ea003kvca0antflsgo,150.0,Sell,UNFURNISHED,,Mumbai
cmfcccifs004nvca0b7im3r5a,Balaji Kanha	,64C5+C63 Dombivli East Dombivli Mumbai Maharashtra 421301,Lodha Xperia Mall,421201,1.0,cmfcccifu004qvca0daqsesxl,41.9,Sell,UNFURNISHED,,Mumbai
cmfcccifs004nvca0b7im3r5a,Balaji Kanha	,64C5+C63 Dombivli East Dombivli Mumbai Maharashtra 421301,Lodha Xperia Mall,421201,2.0,cmfcccifv004svca07g88pbp7,57.7,Sell,UNFURNISHED,,Mumbai
cmfcd6uup005fvca03vhph9j1,Bhoomi antara ,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",R City,400077,2.0,cmfcd6uur005ivca0zanvi722,170.0,Sell,UNFURNISHED,,Mumbai
cmfcd6uup005fvca03vhph9j1,Bhoomi antara ,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",R City,400077,2.0,cmfcd6uur005ivca0zanvi722,240.0,Sell,UNFURNISHED,,Mumbai
cmfcd6uup005fvca03vhph9j1,Bhoomi antara ,"3WG5+CHM, 90 Feet Rd, Garodia Nagar, Ghatkopar East, Mumbai, Maharashtra 400077",R City,400077,3.0,cmfcd6uur005lvca0r1lfayx1,370.0,Sell,UNFURNISHED,,Mumbai
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,1.0,cmfcdo9ej006jvca0unalmr56,120.0,Sell,UNFURNISHED,,Mumbai
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,2.0,cmfcdo9ek006lvca0wye9m2zq,170.0,Sell,UNFURNISHED,,Mumbai
cmfcdo9ei006gvca0wq9t8usr,Arkade Prime,"Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",Criticare Hospital,400059,,cmfcdo9ek006nvca0aerkp2r8,210.0,Sell,UNFURNISHED,,Mumbai
cmfcg9ren0001vc209rw25eve,Glory," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Pune, Maharashtra 411033", Sarai Sport Acadamy,411033,2.0,cmfcg9rep0004vc20nnmldrf5,670.0,Sell,UNFURNISHED,,Pune
cmfcg9ren0001vc209rw25eve,Glory," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Pune, Maharashtra 411033", Sarai Sport Acadamy,411033,3.0,cmfcg9rep0006vc20zocna1zw,860.0,Sell,UNFURNISHED,,Pune
cmfcg9ren0001vc209rw25eve,Glory," Kate Wasti Rd, Kate Wasti, Punawale, Pimpri-Chinchwad, Dattwadi, Pune, Maharashtra 411033", Sarai Sport Acadamy,411033,3.0,cmfcg9rep0006vc20zocna1zw,960.0,Sell,UNFURNISHED,,Pune
cmfdmdqmq0008vc90svu2sfto,Antriksh,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,1.0,cmfdmdqms000bvc90e1hpq42a,56.49,Sell,UNFURNISHED,,Pune
cmfdmdqmq0008vc90svu2sfto,Antriksh,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,2.0,cmfdmdqmt000dvc90s9ndd0nq,143.0,Sell,UNFURNISHED,,Pune
cmfdmdqmq0008vc90svu2sfto,Antriksh,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,2.0,cmfdmdqmt000dvc90s9ndd0nq,189.0,Sell,UNFURNISHED,,Pune
cmfdmdqmq0008vc90svu2sfto,Antriksh,"CTS NO 391, Station Rd, opp. Zilla Parishad, Mangalwar Peth, Somwar Peth, Pune, Maharashtra 411011",Station Road Saraswat Colony,411011,3.0,cmfdmdqmt000gvc90h6gcwpga,229.0,Sell,UNFURNISHED,,Pune
cmfdnk2rz001rvc90t6aa3f0e,16 Lakaki,"1102/A/48, Lakaki Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",Model Colony,411016,4.5,cmfdnk2s1001uvc90qi4xuo6m,558.0,Sell,UNFURNISHED,,Pune
cmfdro2w2002ivc90co2n24lb,Dinmanee ,"Dinmanee, Squadron Leader Sureshchandra Bhagwat Rd, Model Colony, Shivajinagar, Pune, Maharashtra 411016",Bharat English School & jr. College,411016,3.0,cmfdro2w3002lvc90reujbiw4,254.0,Sell,UNFURNISHED,,Pune
cmfdssd190037vc90paoxv29h,Zoa Building - 2 Wing A,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",Renuka mata mandir,411036,1.0,cmfdssd1a003avc90t92jvmti,74.99,Sell,UNFURNISHED,,Pune
cmfdssd190037vc90paoxv29h,Zoa Building - 2 Wing A,"Sr.no.36 Zoa, keshav nagar,Neatr renuka mata Temple Mundhwa, pune 411036",Renuka mata mandir,411036,2.0,cmfdssd1b003cvc905s09tzlj,141.0,Sell,UNFURNISHED,,Pune
cmfdu20970046vc90g587nym1,Leela by Empyrean Landmarks - Phase 1 & 2,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Shri Kshetra Kalbhairavnath Temple,411014,2.0,cmfdu20980049vc901gbx5yzt,136.0,Sell,UNFURNISHED,,Pune
cmfdu20970046vc90g587nym1,Leela by Empyrean Landmarks - Phase 1 & 2,"Survey no. 18-19, plot no. p7, river road, Thite Nagar, Kharadi, Pune, Maharashtra 411014",Shri Kshetra Kalbhairavnath Temple,411014,3.0,cmfdu2099004bvc90md0gqlsn,139.0,Sell,UNFURNISHED,,Pune
cmfdvkxeu0053vc90gquj3cbz,Midori Towers,"Sai Nagar, Mamurdi, Dehu Road, Pune, Maharashtra 412101",Sai nagar Rd,412101,2.0,cmfdvkxew0056vc90azi120pa,668.0,Sell,UNFURNISHED,,Pune
cmfdxi4sv005rvc90ygfhnzc9,Kedar Residency,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Pune, Maharashtra 412101", Maharashtra Cricket Association Stadium,412101,1.0,cmfdxi4sx005uvc90ek5w6w18,304.0,Sell,FURNISHED,"KITCHEN_APPLIANCES,LIGHTS_FANS,WARDROBE,MODULAR_KITCHEN",Pune
cmfdxi4sv005rvc90ygfhnzc9,Kedar Residency,"MP78+P45, St Tukaram Nagar, Mamurdi, Dehu Road, Pune, Maharashtra 412101", Maharashtra Cricket Association Stadium,412101,2.0,cmfdxi4sx005wvc90x44fqzb5,490.0,Sell,UNFURNISHED,,Pune
cmfdyb2yc006rvc900owycgrv,Sonai Clara,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Pune, Maharashtra 412101",Chandraprabha corner,412099,2.0,cmfdyb2yd006uvc90uba2ys2y,79.16,Sell,UNFURNISHED,,Pune
cmfdyb2yc006rvc900owycgrv,Sonai Clara,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Pune, Maharashtra 412101",Chandraprabha corner,412099,2.0,cmfdyb2yd006uvc90uba2ys2y,76.24,Sell,UNFURNISHED,,Pune
cmfdyb2yc006rvc900owycgrv,Sonai Clara,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Pune, Maharashtra 412101",Chandraprabha corner,412099,3.0,cmfdyb2ye006xvc90tgudor3v,99.0,Sell,UNFURNISHED,,Pune
cmfdyb2yc006rvc900owycgrv,Sonai Clara,"BRT Link Rd, Ravet, Pimpri-Chinchwad, Pune, Maharashtra 412101",Chandraprabha corner,412099,3.0,cmfdyb2ye006xvc90tgudor3v,110.0,Sell,UNFURNISHED,,Pune
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Pune, Maharashtra 412101",Police Station,412101,2.0,cmfdz9fvy008bvc90b7nawpiw,7843.0,Sell,UNFURNISHED,,Pune
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Pune, Maharashtra 412101",Police Station,412101,2.0,cmfdz9fvy008bvc90b7nawpiw,80.37,Sell,UNFURNISHED,,Pune
cmfdz9fvx0088vc90pw26eyr8,Santiago Skytown,"Santiago sky town, MP9R+2JG, Ravet Rd, Vikas Nagar, Ravet, Pimpri-Chinchwad, Dehu Road, Pune, Maharashtra 412101",Police Station,412101,3.0,cmfdz9fvy008evc90f98iggaw,139.0,Sell,UNFURNISHED,,Pune
cmfe01l6h009gvc90y1zazr09,The silver altair ,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet, Pune",MNGL CNG Station,412101,2.0,cmfe01l6i009jvc90qz54yiev,84.09,Sell,UNFURNISHED,,Pune
cmfe01l6h009gvc90y1zazr09,The silver altair ,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet, Pune",MNGL CNG Station,412101,2.0,cmfe01l6i009jvc90qz54yiev,88.85,Sell,UNFURNISHED,,Pune
cmfe01l6h009gvc90y1zazr09,The silver altair ,"The Silver altair Project Sr.No. 8/1,12/5 Near MNGL CNG Station , Aundh Ravet BRTS RD, Ravet, Pune",MNGL CNG Station,412101,3.0,cmfe01l6j009mvc90aj7pny7p,110.0,Sell,UNFURNISHED,,Pune
cmff8swbm0001vxp7pe3neibi,testing,,,123456,5.0,cmfozqxd90001vxxuau2xc6lj,100.88,Sell,UNFURNISHED,,
cmff8swbm0001vxp7pe3neibi,testing,,,123456,2.0,cmfozzj19001rvxxuloxiehen,9800.0,Sell,SEMI_FURNISHED,"KITCHEN_APPLIANCES,BASIC_FURNITURE",
cmff8swbm0001vxp7pe3neibi,testing,,,123456,2.0,cmfozzj19001rvxxuloxiehen,1200.0,Sell,UNFURNISHED,,
cmftjwws60001vx55r0q7797l,TESTING,,,123456,4.0,cmftjwws80004vx55yx8nel0u,200.0,Sell,SEMI_FURNISHED,"KITCHEN_APPLIANCES,WARDROBE",
cmftjwws60001vx55r0q7797l,TESTING,,,123456,4.5,cmftjwws80006vx55x3s20w2u,100.0,Sell,UNFURNISHED,,
cmfw5ivra0001vxnkbozvz8bd,testing igi,,,123456,,cmfw5ivrc0004vxnkqlpfdbae,800.0,Sell,SEMI_FURNISHED,"LIGHTS_FANS,BASIC_FURNITURE",
cmfw5ivra0001vxnkbozvz8bd,testing igi,,,123456,3.0,cmfw5ivrd0006vxnk2bia4myh,9600.0,Sell,UNFURNISHED,,
cmfwd377z0008vxgxd9nju858,some project testing,,,828123,4.0,cmfwd3781000bvxgx5ilktqht,300.0,Sell,UNFURNISHED,,
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Jain mandir ,400071,1.0,cmfxrvmud000cqq134yeaya3o,109.0,Sell,UNFURNISHED,,Mumbai
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Jain mandir ,400071,2.0,cmfxrvmud000eqq13dl82i5js,187.0,Sell,UNFURNISHED,,Mumbai
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Jain mandir ,400071,2.0,cmfxrvmud000eqq13dl82i5js,172.0,Sell,UNFURNISHED,,Mumbai
cmfxrvmuc0009qq138n0vk91p,QUEENS PARK,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Jain mandir ,400071,3.0,cmfxrvmud000hqq136m0p71jv,239.0,Sell,UNFURNISHED,,Mumbai
cmfxtgtbw0009vxov4t5onh7d,testring999,,,123456,3.0,cmfxtgtby000cvxovsdc7rfa6,800.0,Sell,UNFURNISHED,,
cmfxwmse70001qq0908yt6oar,Queens Glory,"Building No 10, Subhash Nagar Redevelopment Cluster, Subhash Nagar, Chembur, Mumbai, Maharashtra 400071",Shri siddhivinayak ganesh temple,400076,1.0,cmfxwmse70004qq0987ge7h2b,79.44,Sell,UNFURNISHED,,Mumbai
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Shri siddhivinayak ganesh temple,400076,1.0,cmfxxh08t0016qq09wmpw7s17,107.0,Sell,UNFURNISHED,,Mumbai
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Shri siddhivinayak ganesh temple,400076,2.0,cmfxxh08u0018qq09k3wwm63q,153.0,Sell,UNFURNISHED,,Mumbai
cmfxxh08t0013qq09o0rajcrt,Queens Avenue,"Subhash Nagar, Chembur, Mumbai Harbour, Mumbai",Shri siddhivinayak ganesh temple,400076,2.0,cmfxxh08u0018qq09k3wwm63q,167.0,Sell,UNFURNISHED,,Mumbai
